details,url index
"Peanuts® X J.Crew critter socks Item AW585 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Product Details The world first met Charlie Brown, Snoopy and the rest of the Peanuts gang when the comic strip debuted in 1950. For these limited-edition socks, our designers explored the Charles M. Schulz archives for drawings of his iconic characters that you'll only find here. Cotton/nylon/elastane. Machine wash. Import. Item AW585.",3
Kids' Bling2o™ Rock Lobster goggles Item BC014 Color : Rock Lobster Royal Quantity : 1 2 3 4 5 6 7 8 9 Ship to home Pick up in store Get free shipping always with J.Crew Passport   Sign up     Product Details Bling2o makes seriously un-boring swim accessories. Turn every pool day (and even tub time!) into an adventure in these magical goggles. Silicone/polycarbonate. Import. Online only. Item BC014.,6
"1994 long-sleeve T-shirt in stripe Item AQ389 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Product Details Our most substantial tee: This is a J.Crew favorite, back from the vaults. Based on one of our classic tees, the 1994 T-shirt is made from a heavyweight, open-ended 7-ounce cotton fabric that's more durable than your average tee, and cut in a relaxed, old-school fit. Cotton. Machine wash. Import. Select stores. Item AQ389.",1
"Grundens® X J.Crew graphic hoodie Item BB117 Quantity : 1 2 3 4 5 6 7 8 9 Ship to home Pick up in store Get free shipping always with J.Crew Passport   Sign up     Product Details Grundens was founded in Sweden in the early 1900s by Carl Grundens, the son of a fisherman. He wanted to make gear that would help people with a passion for fishing (like his father) withstand the unforgiving forces of nature while at sea. The result was high-quality, water-repellent pieces worn by both fishermen and nonfishermen alike. We've teamed up with them to bring you this exclusive hoodie, ideal for layering under a jacket on blustery days or wearing solo when weather permits. Cotton/poly. Long sleeves. Rib trim at waist. Kangaroo pocket. Machine wash. Made in the USA. Select stores. Item BB117.",5
"Grundens® X J.Crew slub cotton graphic T-shirt Item BB116 Quantity : 1 2 3 4 5 6 7 8 9 Ship to home Pick up in store Get free shipping always with J.Crew Passport   Sign up     Product Details Grundens was founded in Sweden in the early 1900s by Carl Grundens, the son of a fisherman. He wanted to make gear that would help people with a passion for fishing (like his father) withstand the unforgiving forces of nature while at sea. The result was high-quality, water-repellent pieces worn by both fishermen and nonfishermen alike. We've teamed up with them to bring you this exclusive tee you can wear everywhere (no fishing experience required). Cotton. Short sleeves. Machine wash. Made in the USA. Select stores. Item BB116.",4
"Essential upstate graphic T-shirt Item AQ203 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Product Details Specially washed for softness, our T-shirts are dyed for an even, lasting color (they're supersoft, too, so you'll want to wear them all the time). Cotton. Machine wash. Import. Item AQ203.",0
"Petite Kate straight-leg pant in bi-stretch cotton Item BF402 Color : Ivory All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit High rise. Easy through the hip and thigh, with a straight leg. Front rise: 10 1/2""; 26"" inseam; 15 3/4"" leg opening (based on a size 8). Product Details Introducing the Work Remix. A capsule of comfy, polished pieces that are as versatile as whatever your version of ""going to the office"" is these days. A wear-to-work wonder, the Kate pant is comfortable, flattering and goes-with-everything. It features a streamlined, straight-leg silhouette and Perfecting Pockets™. Plus, it's crafted in comfy bi-stretch cotton, so you can also rest assured knowing it feels as good as it looks. By buying cotton products from J.Crew, you're supporting our investment in Better Cotton's mission to help cotton communities survive and thrive while protecting and restoring the environment. This product is sourced through a system of mass balance and therefore may not contain Better Cotton. High rise. Easy through the hip and thigh, with a straight leg. Front rise: 10 3/4""; 28"" inseam; 15 3/4"" leg opening (based on a size 6). 52% cotton/41% viscose/7% elastane. Zip fly. Pockets. Machine wash. Import. Item BF402. Our Fabrics, Re-imagined Re-imagined This style contains at least 30% of a Re-imagined fabric, which contributes to our goal of sustainably sourcing 100% of our key fibers by 2025. Fair Trade Certified™ This item was crafted in a Fair Trade Certified™ facility. Learn More Shop All Re-imagined",7
"Relaxed indigo chambray shirt Item BH599 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit Relaxed fit. Roomier in the body and sleeves than our Classic fit, with an additional 1/2"" in the chest and 1"" across the shoulders. Product Details Softer and lighter than denim (thanks to a different weaving process), chambray looks great no matter how you wear it. This shirt is a versatile piece that can be dressed up, dressed down, layered—you get the idea. We weave this chambray shirt in organic cotton that's grown without toxic chemicals or GMOs (genetically modified organisms), which means it's better for the health of the soil, the ecosystem and the people who farm it. 100% cotton. Machine wash. Import. Item BH599. Our Fabrics, Re-imagined Re-imagined This style contains at least 30% of a Re-imagined fabric, which contributes to our goal of sustainably sourcing 100% of our key fibers by 2025. Organic This item contains at least 30% organic cotton, which is produced without synthetic fertilizers and pesticides, making it better for the planet and the people who farm it. Learn More Shop All Re-imagined",12
"Corgi™ X J.Crew critter socks Item AS770 All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Product Details Founded in 1892 by Rhys Jones of Carmarthenshire, Wales, Corgi remains family owned and operated four generations later. Run today by Jones's great-great-grandchildren, this small company is famous for its hand-finished (and smart-looking) socks—and it has a Royal Warrant from HRH the Prince of Wales to prove it. These socks are made from a lightweight cotton-blend weave that's both comfortable and breathable. Trust us: Your feet will thank you. Cotton/nylon. Machine wash. Made in England. Select stores. Item AS770.",2
"Tall Kate straight-leg pant in bi-stretch cotton Item BF403 Color : Ivory All sizes are US sizes. Quantity : 1 2 3 4 5 6 7 8 9 Prices include duties and taxes.     Size & Fit High rise. Easy through the hip and thigh, with a straight leg. Front rise: 11""; 31"" inseam; 15 3/4"" leg opening (based on a size 6). Product Details Introducing the Work Remix. A capsule of comfy, polished pieces that are as versatile as whatever your version of ""going to the office"" is these days. A wear-to-work wonder, the Kate pant is comfortable, flattering and goes-with-everything. It features a streamlined, straight-leg silhouette and Perfecting Pockets™. Plus, it's crafted in comfy bi-stretch cotton, so you can also rest assured knowing it feels as good as it looks. By buying cotton products from J.Crew, you're supporting our investment in Better Cotton's mission to help cotton communities survive and thrive while protecting and restoring the environment. This product is sourced through a system of mass balance and therefore may not contain Better Cotton. High rise. Easy through the hip and thigh, with a straight leg. Front rise: 10 3/4""; 28"" inseam; 15 3/4"" leg opening (based on a size 6). 52% cotton/41% viscose/7% elastane. Zip fly. Pockets. Machine wash. Import. Item BF403. Our Fabrics, Re-imagined Re-imagined This style contains at least 30% of a Re-imagined fabric, which contributes to our goal of sustainably sourcing 100% of our key fibers by 2025. Fair Trade Certified™ This item was crafted in a Fair Trade Certified™ facility. Learn More Shop All Re-imagined",8
